,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
90,91,,0.8808642786,1.0260543962,0.3314997583,0.3863483217,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0121507619,0.0147463692,0.00555741,0.003824631,0.0152856781,4
91,92,,0.8808642786,1.0260543962,0.3314997583,0.3863483217,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0121507619,0.0147463692,0.00555741,0.003824631,0.0152856781,4
92,93,,0.8808642786,1.0260543962,0.3314997583,0.3863483217,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0121507619,0.0147463692,0.00555741,0.003824631,0.0152856781,4
93,94,,0.8808642786,1.0260543962,0.3314997583,0.3863483217,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0121507619,0.0147463692,0.00555741,0.003824631,0.0152856781,4
94,95,,0.8808642786,1.0260543962,0.3314997583,0.3863483217,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0121507619,0.0147463692,0.00555741,0.003824631,0.0152856781,4
95,96,,0.9860771981,1.0260543962,0.1242009526,0.8072,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0131923106,0.0147463692,0.0034783011,0.0079908259,0.0152856781,4
96,97,,0.9860771981,1.0260543962,0.1242009526,0.8072,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0131923106,0.0147463692,0.0034783011,0.0079908259,0.0152856781,4
97,98,,0.9860771981,1.0260543962,0.1242009526,0.8072,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0131923106,0.0147463692,0.0034783011,0.0079908259,0.0152856781,4
98,99,,0.9860771981,1.0260543962,0.1242009526,0.8072,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0131923106,0.0147463692,0.0034783011,0.0079908259,0.0152856781,4
99,100,,0.9860771981,1.0260543962,0.1242009526,0.8072,1.085,4,,1.3196917018,1.3805660476,0.2306744192,0.989943746,1.5276909661,4,,0.0131923106,0.0147463692,0.0034783011,0.0079908259,0.0152856781,4
100,101,,0.4492330984,0.4492330984,0.5799928844,0.0391161968,0.85935,2,,1.605,1.605,0.2757716447,1.41,1.8,2,,0.0064104633,0.0064104633,0.0080700283,0.0007040915,0.012116835,2
101,102,,0.4492330984,0.4492330984,0.5799928844,0.0391161968,0.85935,2,,1.605,1.605,0.2757716447,1.41,1.8,2,,0.0064104633,0.0064104633,0.0080700283,0.0007040915,0.012116835,2
102,103,,0.4492330984,0.4492330984,0.5799928844,0.0391161968,0.85935,2,,1.605,1.605,0.2757716447,1.41,1.8,2,,0.0064104633,0.0064104633,0.0080700283,0.0007040915,0.012116835,2
103,104,,0.4492330984,0.4492330984,0.5799928844,0.0391161968,0.85935,2,,1.605,1.605,0.2757716447,1.41,1.8,2,,0.0064104633,0.0064104633,0.0080700283,0.0007040915,0.012116835,2
104,105,,0.4492330984,0.4492330984,0.5799928844,0.0391161968,0.85935,2,,1.605,1.605,0.2757716447,1.41,1.8,2,,0.0064104633,0.0064104633,0.0080700283,0.0007040915,0.012116835,2
105,106,,0.0391161968,0.0391161968,0,0.0391161968,0.0391161968,1,,1.8,1.8,0,1.8,1.8,1,,0.0007040915,0.0007040915,0,0.0007040915,0.0007040915,1
106,107,,0.4644830984,0.4644830984,0.6015596412,0.0391161968,0.88985,2,,1.61,1.61,0.2687005769,1.42,1.8,2,,0.0066699808,0.0066699808,0.0084370415,0.0007040915,0.01263587,2
107,108,,0.4644830984,0.4644830984,0.6015596412,0.0391161968,0.88985,2,,1.61,1.61,0.2687005769,1.42,1.8,2,,0.0066699808,0.0066699808,0.0084370415,0.0007040915,0.01263587,2
108,109,,0.4644830984,0.4644830984,0.6015596412,0.0391161968,0.88985,2,,1.61,1.61,0.2687005769,1.42,1.8,2,,0.0066699808,0.0066699808,0.0084370415,0.0007040915,0.01263587,2
109,110,,0.4644830984,0.4644830984,0.6015596412,0.0391161968,0.88985,2,,1.61,1.61,0.2687005769,1.42,1.8,2,,0.0066699808,0.0066699808,0.0084370415,0.0007040915,0.01263587,2
110,111,,0.6184720656,0.88985,0.50207052,0.0391161968,0.92645,3,,1.53,1.42,0.2351595203,1.37,1.8,3,,0.0086774422,0.01263587,0.006905182,0.0007040915,0.012692365,3
111,112,,0.4827830984,0.4827830984,0.6274397494,0.0391161968,0.92645,2,,1.585,1.585,0.3040559159,1.37,1.8,2,,0.0066982283,0.0066982283,0.0084769895,0.0007040915,0.012692365,2
112,113,,0.4827830984,0.4827830984,0.6274397494,0.0391161968,0.92645,2,,1.585,1.585,0.3040559159,1.37,1.8,2,,0.0066982283,0.0066982283,0.0084769895,0.0007040915,0.012692365,2
113,114,,0.4827830984,0.4827830984,0.6274397494,0.0391161968,0.92645,2,,1.585,1.585,0.3040559159,1.37,1.8,2,,0.0066982283,0.0066982283,0.0084769895,0.0007040915,0.012692365,2
114,115,,0.4876830984,0.4876830984,0.6343693959,0.0391161968,0.93625,2,,1.615,1.615,0.261629509,1.43,1.8,2,,0.0070462333,0.0070462333,0.0089691428,0.0007040915,0.013388375,2
115,116,,0.4876830984,0.4876830984,0.6343693959,0.0391161968,0.93625,2,,1.615,1.615,0.261629509,1.43,1.8,2,,0.0070462333,0.0070462333,0.0089691428,0.0007040915,0.013388375,2
116,117,,0.4876830984,0.4876830984,0.6343693959,0.0391161968,0.93625,2,,1.615,1.615,0.261629509,1.43,1.8,2,,0.0070462333,0.0070462333,0.0089691428,0.0007040915,0.013388375,2
117,118,,0.4876830984,0.4876830984,0.6343693959,0.0391161968,0.93625,2,,1.615,1.615,0.261629509,1.43,1.8,2,,0.0070462333,0.0070462333,0.0089691428,0.0007040915,0.013388375,2
118,119,,0.4445330984,0.4445330984,0.5733460807,0.0391161968,0.84995,2,,1.625,1.625,0.2474873734,1.45,1.8,2,,0.0065141833,0.0065141833,0.0082167105,0.0007040915,0.012324275,2
119,120,,0.4445330984,0.4445330984,0.5733460807,0.0391161968,0.84995,2,,1.625,1.625,0.2474873734,1.45,1.8,2,,0.0065141833,0.0065141833,0.0082167105,0.0007040915,0.012324275,2
